1,1197
1,64036
1,6980
1,77064
1,22882
1,95074
1,60404
1,17166
1,27554
1,76066
2,68754
2,74563
2,87113
2,44627
2,21753
2,71652
2,69079
2,11952
2,27919
2,67386
3,42234
3,25932
3,57130
3,76617
3,51672
3,31677
3,82651
3,44725
3,23779
3,35853
4,31089
4,53124
4,49682
4,16384
4,56311
4,15775
4,66541
4,8590
4,29771
4,96851
5,85796
5,66264
5,16766
5,87010
5,9376
5,48630
5,35151
5,89499
5,46903
5,15818
6,41621
6,6584
6,79970
6,92747
6,60496
6,52297
6,19153
6,77279
6,60681
6,68901
7,18910
7,2292
7,39540
7,8190
7,97209
7,53126
7,38991
7,15410
7,85206
7,40038
8,4776
8,7983
8,66303
8,21115
8,54643
8,74710
8,53881
8,54410
8,56448
8,70444
9,55992
9,60850
9,84477
9,9295
9,42548
9,24676
9,38133
9,80999
9,56971
9,49463
10,57782
10,37834
10,37711
10,2020
10,67721
10,14402
10,17525
10,60502
10,80087
10,88056
11,86718
11,34746
11,57999
11,49475
11,89460
11,72370
11,52963
11,89363
11,19588
11,3509
12,81067
12,72249
12,13454
12,83070
12,38640
12,93229
12,30231
12,39974
12,93582
12,85766
13,63920
13,17190
13,16511
13,67234
13,61808
13,82580
13,11596
13,19313
13,3314
13,13314
14,9426
14,18412
14,32137
14,86117
14,92475
14,28400
14,35145
14,30978
14,78503
14,84465
15,22681
15,52378
15,11801
15,24507
15,65492
15,10251
15,52605
15,42405
15,89316
15,32278
16,80466
16,74143
16,46594
16,85605
16,83961
16,61759
16,69705
16,2381
16,45887
16,94066
17,87567
17,58539
17,64313
17,76220
17,84031
17,38898
17,52558
17,94073
17,39406
17,37077
18,46061
18,38037
18,12286
18,89191
18,96937
18,47747
18,89403
18,58642
18,50185
18,11324
19,26281
19,51985
19,6947
19,29620
19,72592
19,30042
19,65505
19,20749
19,89464
19,8115
20,49684
20,5111
20,79683
20,13533
20,93137
20,95950
20,64703
20,10777
20,22837
20,96545
21,17969
21,57125
21,4131
21,24020
21,79217
21,29899
21,28258
21,89886
21,37097
21,4653
22,89902
22,87336
22,346
22,77244
22,65710
22,78549
22,85569
22,64502
22,51005
22,94999
23,32152
23,5781
23,40249
23,64752
23,29645
23,70211
23,81652
23,58565
23,39485
23,37589
24,69766
24,98829
24,76392
24,8194
24,13087
24,27664
24,46754
24,63927
24,67833
24,80466
25,24652
25,55168
25,60044
25,53101
25,11309
25,33601
25,50111
25,52454
25,47020
25,8886
26,4629
26,6963
26,76756
26,2667
26,20825
26,24161
26,69493
26,88540
26,1060
26,47380
27,54255
27,53718
27,85873
27,28863
27,93604
27,6679
27,6559
27,3481
27,91661
27,72460
28,21081
28,60754
28,27379
28,66242
28,91196
28,59535
28,92444
28,60361
28,75362
28,81670
29,61441
29,19001
29,72645
29,13973
29,43085
29,64682
29,53604
29,1436
29,98205
29,60592
30,19204
30,20754
30,7071
30,60092
30,66522
30,54206
30,73127
30,80096
30,8245
30,6210
31,10526
31,79391
31,134
31,7952
31,84225
31,11208
31,36920
31,6574
31,60637
31,97658
32,63382
32,10946
32,97736
32,10213
32,8551
32,36025
32,10171
32,26970
32,29248
32,98051
33,49235
33,32522
33,41492
33,41433
33,74164
33,63353
33,82049
33,25771
33,29423
33,55254
34,40412
34,94793
34,47724
34,32663
34,46671
34,85796
34,19105
34,42775
34,56819
34,37890
35,55030
35,7524
35,41907
35,37683
35,10774
35,13677
35,63461
35,25860
35,86394
35,65841
36,95279
36,38061
36,92175
36,30170
36,59258
36,96444
36,95030
36,96541
36,98059
36,66499
37,3607
37,39803
37,21475
37,98464
37,49014
37,85922
37,65355
37,59909
37,30138
37,24507
38,25278
38,18784
38,8013
38,22837
38,75342
38,95750
38,49979
38,33625
38,23116
38,78412
39,76568
39,25592
39,76381
39,31050
39,55852
39,27202
39,3112
39,73124
39,62120
39,76610
40,46427
40,10946
40,60321
40,37884
40,60920
40,84875
40,82747
40,94186
40,44238
40,173
41,96554
41,17009
41,37295
41,32697
41,18914
41,8543
41,65267
41,2406
41,83389
41,47270
42,60482
42,74529
42,66107
42,22698
42,53579
42,65477
42,76603
42,80031
42,69557
42,96116
43,72663
43,65949
43,75884
43,71574
43,76636
43,26382
43,78844
43,24123
43,51588
43,51731
44,89957
44,74933
44,84727
44,9586
44,67075
44,70420
44,17221
44,26385
44,10994
44,29976
45,37351
45,70793
45,94270
45,60844
45,74058
45,64809
45,70399
45,51463
45,36283
45,90006
46,76371
46,79488
46,9816
46,15195
46,73535
46,20845
46,86261
46,72213
46,2077
46,73901
47,71822
47,80570
47,872
47,22639
47,80692
47,78877
47,26382
47,65430
47,20522
47,3878
48,93892
48,23627
48,5011
48,62237
48,15968
48,84839
48,21018
48,54727
48,32871
48,57838
49,59525
49,59390
49,51932
49,55104
49,48529
49,84130
49,85117
49,37528
49,52603
49,87593
50,19005
50,12098
50,3384
50,50877
50,22182
50,11376
50,18345
50,94738
50,65233
50,57666
